+----------------+--------------------------------------------------------------------------+------------------------------------------------+
| U+0495->U+0433 | CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK                               | CYRILLIC SMALL LETTER GHE                      |
| U+0496->U+0436 | CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER                               | CYRILLIC SMALL LETTER ZHE                      |
| U+0497->U+0436 | CYRILLIC SMALL LETTER ZHE WITH DESCENDER                                 | CYRILLIC SMALL LETTER ZHE                      |
| U+0498->U+0437 | CYRILLIC CAPITAL LETTER ZE WITH DESCENDER                                | CYRILLIC SMALL LETTER ZE                       |
| U+0499->U+0437 | CYRILLIC SMALL LETTER ZE WITH DESCENDER                                  | CYRILLIC SMALL LETTER ZE                       |
| U+049A->U+043A | CYRILLIC CAPITAL LETTER KA WITH DESCENDER                                | CYRILLIC SMALL LETTER KA                       |
| U+049B->U+043A | CYRILLIC SMALL LETTER KA WITH DESCENDER                                  | CYRILLIC SMALL LETTER KA                       |
| U+049C->U+043A | CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE                          | CYRILLIC SMALL LETTER KA                       |
| U+049D->U+043A | CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE                            | CYRILLIC SMALL LETTER KA                       |
| U+049E->U+043A | CYRILLIC CAPITAL LETTER KA WITH STROKE                                   | CYRILLIC SMALL LETTER KA                       |
| U+049F->U+043A | CYRILLIC SMALL LETTER KA WITH STROKE                                     | CYRILLIC SMALL LETTER KA                       |
| U+04A0->U+043A | CYRILLIC CAPITAL LETTER BASHKIR KA                                       | CYRILLIC SMALL LETTER KA                       |
| U+04A1->U+043A | CYRILLIC SMALL LETTER BASHKIR KA                                         | CYRILLIC SMALL LETTER KA                       |
| U+04A2->U+043D | CYRILLIC CAPITAL LETTER EN WITH DESCENDER                                | CYRILLIC SMALL LETTER EN                       |
| U+04A3->U+043D | CYRILLIC SMALL LETTER EN WITH DESCENDER                                  | CYRILLIC SMALL LETTER EN                       |
| U+04A4->U+043D | CYRILLIC CAPITAL LIGATURE EN GHE                                         | CYRILLIC SMALL LETTER EN                       |
| U+04A5->U+043D | CYRILLIC SMALL LIGATURE EN GHE                                           | CYRILLIC SMALL LETTER EN                       |
| U+04A6->U+043F | CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK                              | CYRILLIC SMALL LETTER PE                       |
| U+04A7->U+043F | CYRILLIC SMALL LETTER PE WITH MIDDLE HOOK                                | CYRILLIC SMALL LETTER PE                       |
| U+04A8->U+04A9 | CYRILLIC CAPITAL LETTER ABKHASIAN HA                                     | CYRILLIC SMALL LETTER ABKHASIAN HA             |
| U+04AA->U+0441 | CYRILLIC CAPITAL LETTER ES WITH DESCENDER                                | CYRILLIC SMALL LETTER ES                       |
| U+04AB->U+0441 | CYRILLIC SMALL LETTER ES WITH DESCENDER                                  | CYRILLIC SMALL LETTER ES                       |
